review_id,text,rating,sentiment
658,Five stars! The running shoes the price was very reasonable for the quality.,5,positive
406,"This backpack exceeded my expectations, it saved me so much time.",4,positive
664,"The desk lamp is amazing, the packaging was premium.",5,positive
269,"The gaming mouse broke within days, there were missing parts.",2,negative
726,"Neutral experience overall, it works as described, nothing more.",3,neutral
542,"I regret buying this camera, teh packaging was damaged.",2,negative
989,"Worst office chair ever, customer support never responded. 😢",1,negative
1132,"Great value for money, this laptop it fits perfectly.",5,positive
418,"The laptop is amazing, customer service was very helpful. 🔥",5,positive
1039,Five stars! The backpack it saved me so much time.,5,positive
599,"Not worth it at all, it did not match the description :(",2,negative
358,"Great value for money, this monitor it looks even better in person.",4,positive
1172,"Poor quality book, the size was completely wrong.",1,negative
129,"The monitor does what it says, it is comparable to other brands.",3,neutral
924,"The book does what it says, it works as described, nothing more.",3,neutral
244,"Fantastic quality backpack, delivery was super fast :) ❤️",5,positive
53,"The monitor broke within days, it did not match the description.",2,negative
1167,"It arrived on time, the camera it works as described, nothing more.",3,neutral
397,"The camera is amazing, the packaging was premium.",5,positive
879,"The camera does what it says, the instructions were a little unclear.",3,neutral
963,"It works, but it is comparable to other brands.",3,neutral
1123,"Works like a charm, the build quality is excellent.",4,positive
650,"Do not buy this camera, the material feels cheap.",1,negative
851,"Worst running shoes ever, the battery drains too fast.",2,negative
669,"Decent desk lamp for the price, there is nothing extra to mention.",3,neutral
958,Five stars! The book it looks even better in person.,5,positive
828,"Decent monitor for the price, it does the basic job.",3,neutral
564,"It works, but some features were unnecessary.",3,neutral
637,"Fantastic quality monitor, it saved me so much time :)",4,positive
783,"The smart watch is okay, nothing special, it looks similar to the pictures.",3,neutral
326,"The smart watch broke within days, the size was completely wrong.",2,negative
212,"Very disappointed with teh coffee maker, customer support never responded. 👎",1,negative
1001,"teh t-shirt broke within days, it arrived very late.",2,negative
9,"Decent keyboard for the price, it does teh basic job.",3,neutral
491,"This bluetooth speaker is terrible, teh battery drains too fast.",2,negative
81,"teh wireless earbuds is okay, nothing special, the shipping took a bit longer than expected.",3,neutral
368,"This keyboard is terrible, teh battery drains too fast.",1,negative
730,"Works like a charm, battery life is outstanding. 👍",5,positive
915,"Standard backpack, the price is about average.",3,neutral
70,Five stars! The camera it looks even better in person.,5,positive
947,"Not worth it at all, the material feels cheap :(",1,negative
292,"This desk lamp exceeded my expectations, it fits perfectly.",4,positive
403,"I absolutely love this t-shirt, it works perfectly and the build quality is excellent.",5,positive
997,"gr8 value for money, this backpack the sound quality is crisp.",4,positive
880,"Fantastic quality desk lamp, the sound quality is crisp :) 😊",4,positive
529,"THIS LAPTOP EXCEEDED MY EXPECTATIONS, IT FITS PERFECTLY.",4,positive
1175,"Very disappointed with the kitchen blender, the packaging was damaged.",2,negative
846,"Not bad, not great, it works as described, nothing more.",3,neutral
178,"Great value for money, this office chair it looks even better in person.",4,positive
1065,"It works, but there is nothing extra to mention.",3,neutral
764,"Poor quality monitor, the size was completely wrong.",1,negative
826,"This backpack exceeded my expectations, customer service was very helpful.",5,positive
437,"Completely useless, the size was completely wrong.",2,negative
1048,Five stars! The water bottle it looks even better in person.,5,positive
928,Five stars! The charger battery life is outstanding. 😊,5,positive
459,"The desk lamp does what it says, the instructions were a little unclear.",3,neutral
863,"This backpack is terrible, teh material feels cheap. 👎",2,negative
747,"It arrived on time, the backpack some features were unnecessary.",3,neutral
1044,"The office chair is fine I guess, the shipping took a bit longer than expected.",3,neutral
185,"Poor quality wireless earbuds, it stopped working after a week.",1,negative
155,"I regret buying this smart watch, teh battery drains too fast.",2,negative
243,"Not bad, not great, it is comparable to other brands.",3,neutral
355,"Highly recommend this water bottle, the sound quality is crisp. 👍",5,positive
967,"Super happy with this purchase, the camera customer service was very helpful.",5,positive
630,"Decent book for the price, it looks similar to the pictures.",3,neutral
38,"Do not buy this running shoes, the size was completely wrong.",1,negative
609,"NOT BAD, NOT GREAT, IT LOOKS SIMILAR TO THE PICTURES.",3,neutral
809,"Waste of money, the monitor teh size was completely wrong.",2,negative
722,"Worst water bottle ever, it stopped working after a week.",1,negative
938,"Completely useless, it is overpriced for what you get.",1,negative
189,"Not bad, not great, the price is about average.",3,neutral
843,"Standard monitor, there is nothing extra to mention.",3,neutral
592,"Best coffee maker I have ever bought, it looks even better in person!",5,positive
372,"Not bad, not great, the colour was slightly different than shown.",3,neutral
690,"The camera is fine I guess, there is nothing extra to mention.",3,neutral
926,"Worst book ever, it arrived very late.",1,negative
1141,Five stars! teh laptop the build quality is excellent.,4,positive
1077,"The book is fine I guess, some features were unnecessary.",3,neutral
623,"Not worth it at all, the packaging was damaged :( 😡",1,negative
973,"This coffee maker exceeded my expectations, the packaging was premium.",5,positive
881,"Completely useless, the packaging was damaged. 👎",2,negative
596,"I regret buying this charger, there were missing parts. 😡",1,negative
50,"This book is terrible, customer support never responded.",2,negative
859,"Super happy with this purchase, the phone case the sound quality is crisp.",5,positive
52,"Great value for money, this t-shirt it looks even better in person.",4,positive
42,"IT ARRIVED ON TIME, teh CHARGER IT LOOKS SIMILAR TO THE PICTURES.",3,neutral
17,"Completely useless, it did not match the description.",1,negative
604,"I absolutely love this tablet, it works perfectly and the price was very reasonable for teh quality.",5,positive
1169,"Do not buy this monitor, it did not match the description.",2,negative
214,"Great value for money, this wireless earbuds battery life is outstanding. 😊",4,positive
523,"The keyboard is amazing, customer service was very helpful.",4,positive
16,"Works like a charm, it looks even better in person.",4,positive
236,"Waste of money, the laptop teh packaging was damaged. 😢",1,negative
720,"It arrived on time, the running shoes it looks similar to teh pictures.",3,neutral
686,"Worst book ever, the battery drains too fast.",2,negative
584,"Do not buy this wireless earbuds, teh material feels cheap.",2,negative
982,"I absolutely love this office chair, it works perfectly and it saved me so much time.",4,positive
117,"It's an average t-shirt, the price is about average.",3,neutral
540,"The book does what it says, it looks similar to teh pictures.",3,neutral
1043,"Worst keyboard ever, it is overpriced for what you get. 😡",1,negative
968,"Completely useless, it is overpriced for what you get.",1,negative
556,"Highly recommend this t-shirt, the packaging was premium. ❤️",4,positive
812,"Completely useless, the packaging was damaged.",2,negative
373,"Highly recommend this water bottle, the sound quality is crisp.",4,positive
769,"I absolutely love this office chair, it works perfectly and it fits perfectly.",5,positive
354,"Decent wireless earbuds for the price, there is nothing extra to mention.",3,neutral
297,"Neutral experience overall, the price is about average.",3,neutral
431,"Do not buy this tablet, it arrived very late.",2,negative
474,"teh keyboard is okay, nothing special, the colour was slightly different than shown.",3,neutral
986,"Worst book ever, it did not match the description.",2,negative
222,"It works, but some features were unnecessary.",3,neutral
673,"Highly recommend this bluetooth speaker, it looks even better in person.",4,positive
322,"teh desk lamp is amazing, the build quality is excellent. 🔥",5,positive
645,"Neutral experience overall, it is comparable to other brands.",3,neutral
1070,"Waste of money, the desk lamp the packaging was damaged.",1,negative
423,"The laptop is okay, nothing special, it does the basic job.",3,neutral
1188,"The t-shirt is okay, nothing special, the price is about average.",3,neutral
286,"Fantastic quality wireless earbuds, battery life is outstanding :)",4,positive
666,"Standard tablet, it is comparable to other brands.",3,neutral
